,student_id,Gender,Assignment_Score 1 (out of 40),Assignment_Score 2(out of 40),Test_Result 1 (out of 10),Test_result 2 (out of 10),Quiz_score (out of 7),Late_submission_count (0-5),Lms_login_frequency level,attendance_rate,midterm_score,weekly_self_study_hours,Study_Habit_level,class_participation,active_days_month,extracurricular_activities,final_score,Course_Biology,Course_Chemistry,Course_Computer Science,Course_Economics,Course_English,Course_History,Course_Mathematics,Course_Physics,Section_A,Section_B,Section_C,performance_level
0,CNSTU1000,1,0.5454545454545455,0.8333333333333334,0.4999999999999999,0.7777777777777777,1.0,0.0,2,0.5490870608367522,0.68267616393558,0.4625,2,0.4347826086956522,0.20833333333333331,1,91.99355436586002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Medium
1,CNSTU1001,1,0.2727272727272726,0.9166666666666666,0.33333333333333337,0.3333333333333333,0.75,1.0,2,0.6733775148492538,0.5556804730990964,0.35000000000000003,2,0.4782608695652174,0.3333333333333333,0,87.24633682912769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Medium
2,CNSTU1002,0,0.4999999999999999,0.41666666666666663,0.4999999999999999,0.4444444444444445,0.25,3.0,1,0.5216268635714187,0.7128710409534719,0.48750000000000004,2,0.4347826086956522,0.9166666666666667,0,78.59630369920174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Medium
3,CNSTU1003,1,0.8181818181818182,0.7916666666666666,0.4999999999999999,0.2222222222222222,0.75,2.0,2,0.6350961250889053,0.8879393046149383,0.6425000000000001,0,0.13043478260869565,0.16666666666666669,0,71.53063222294426,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Medium
4,CNSTU1004,0,0.5909090909090909,0.8749999999999999,0.6666666666666666,0.5555555555555556,1.0,0.0,0,0.2637063551469341,0.536502658388666,0.335,2,0.6086956521739131,0.625,0,84.9822331361359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Medium
5,CNSTU1005,0,0.7272727272727272,0.7499999999999999,0.4999999999999999,0.7777777777777777,0.0,1.0,1,0.7571838995203071,0.5365059419434973,0.335,2,0.26086956521739135,0.7083333333333333,1,81.9348538542175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Medium
6,CNSTU1006,1,1.0,0.8333333333333334,0.6666666666666666,0.8888888888888888,1.0,1.0,1,0.7075088490062651,0.8991758964348117,0.6525000000000001,0,0.5652173913043478,0.6666666666666667,0,86.95193220027733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,High
7,CNSTU1007,0,0.9545454545454545,0.8749999999999999,0.4999999999999999,0.8888888888888888,0.5,3.0,2,0.5158489879809727,0.7368202791639152,0.51,0,0.4782608695652174,0.7083333333333333,1,84.35171801681969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Medium
8,CNSTU1008,2,0.5454545454545455,0.8749999999999999,0.6666666666666666,0.2222222222222222,0.5,4.0,2,0.8616342312640586,0.48943845614634307,0.2925,1,0.0,0.0,0,88.49552715319335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium
9,CNSTU1009,1,0.40909090909090906,0.8749999999999999,0.6666666666666666,0.3333333333333333,1.0,5.0,1,0.9268230535548447,0.6918453420505263,0.47000000000000003,2,0.6086956521739131,0.75,1,72.64764788439432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Medium
